Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
1,,Josh McDougal,SR,Liberty,Individual,8:57,2,,15:09,2,,23:39,1,,29:22.4,Indiana State,537,909,1419,1762
2,1,Galen Rupp,JR,Oregon,Team,8:57,3,2,15:09,3,2,23:39,2,1,29:23.4,Indiana State,537,909,1419,1763
3,2,Lopez Lomong,JR,Northern Arizona,Team,8:57,4,3,15:09,4,3,23:42,3,2,29:45.5,Indiana State,537,909,1422,1785
4,3,Robert Curtis,SR,Villanova,Team,8:56,1,1,15:09,1,1,23:56,8,6,29:46.3,Indiana State,536,909,1436,1786
5,4,Brent Vaughn,SR,Colorado,Team,8:58,28,18,15:10,25,16,23:57,10,7,29:47.4,Indiana State,538,910,1437,1787
6,,Jacob Korir,SR,Eastern Kentucky,Individual,8:57,5,,15:09,5,,23:47,4,,29:48.7,Indiana State,537,909,1427,1789
7,,Shadrack Songok,JR,A&M-Corpus Christi,Individual,8:57,6,,15:10,19,,23:56,9,,29:50.1,Indiana State,537,910,1436,1790
8,5,David Kinsella,JR,Portland,Team,8:57,7,4,15:09,6,4,23:52,5,3,29:52.2,Indiana State,537,909,1432,1792
9,6,Shadrack Kiptoo-Biwott,JR,Oregon,Team,8:57,8,5,15:09,7,5,23:54,7,5,29:55.9,Indiana State,537,909,1434,1796
10,7,David McNeill,FR,Northern Arizona,Team,8:57,9,6,15:10,20,13,24:05,12,9,29:56.8,Indiana State,537,910,1445,1797
11,8,Ryan Vail,JR,Oklahoma State,Team,9:01,86,62,15:12,47,36,24:06,17,12,29:57.9,Indiana State,541,912,1446,1798
12,9,Wesley Korir,SR,Louisville,Team,8:57,10,7,15:09,8,6,23:53,6,4,29:58.3,Indiana State,537,909,1433,1798
13,10,Christo Landry,SR,William & Mary,Team,8:58,29,19,15:10,26,17,24:06,18,13,30:04.0,Indiana State,538,910,1446,1804
14,11,Abraham Ng’etich,SR,Iona,Team,8:59,56,42,15:12,44,34,24:06,19,14,30:04.6,Indiana State,539,912,1446,1805
15,12,Patrick Smyth,JR,Notre Dame,Team,8:58,30,20,15:09,17,12,24:05,13,10,30:05.4,Indiana State,538,909,1445,1805
16,,Trent Hoerr,SR,Illinois,Individual,8:57,11,,15:09,9,,24:06,20,,30:07.1,Indiana State,537,909,1446,1807
17,13,Matt Withrow,JR,Wisconsin,Team,8:57,12,8,15:09,10,7,24:07,22,16,30:09.0,Indiana State,537,909,1447,1809
18,14,Augustus Maiyo,JR,Alabama,Team,8:57,13,9,15:09,11,8,24:05,14,11,30:12.8,Indiana State,537,909,1445,1813
19,,Mark Korir,JR,Wyoming,Individual,8:57,14,,15:09,12,,24:05,15,,30:13.2,Indiana State,537,909,1445,1813
20,,Jeremy Johnson,SR,New Mexico,Individual,8:57,15,,15:09,13,,24:05,16,,30:18.3,Indiana State,537,909,1445,1818
21,15,David Chirchir,SO,Oklahoma State,Team,9:06,153,120,15:24,116,89,24:19,34,25,30:19.2,Indiana State,546,924,1459,1819
22,16,Andrew Bumbalough,SO,Georgetown,Team,8:59,57,43,15:13,52,39,24:17,28,20,30:19.8,Indiana State,539,913,1457,1820
23,17,Stephen Samoei,SR,UTEP,Team,8:57,16,10,15:09,14,9,24:06,21,15,30:20.4,Indiana State,537,909,1446,1820
24,,Francis Kasagule,SO,Lamar,Individual,8:57,17,,15:10,21,,24:11,24,,30:20.6,Indiana State,537,910,1451,1821
25,18,Mohamed Khadraoui,JR,Iona,Team,8:59,58,44,15:12,45,35,24:16,25,17,30:20.9,Indiana State,539,912,1456,1821
