Place,TmPl,Name,Class,School,Type,2k,2k_Place,2k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,2k_Sec,5k_Sec,8k_Sec,Finish_Sec
1,,Samuel Chelanga,SR,Liberty,Individual,5:45,1,,14:37,1,,23:27,1,,29:22.2,Indiana State,345,877,1407,1762
2,,Stephen Sambu,JR,Arizona,Individual,5:46,5,,14:38,3,,23:27,2,,29:26.5,Indiana State,346,878,1407,1766
3,1,Luke Puskedra,JR,Oregon,Team,5:45,2,1,14:38,2,1,23:34,3,1,29:38.0,Indiana State,345,878,1414,1778
4,2,Leonard Korir,JR,Iona,Team,5:49,7,5,14:48,4,2,23:41,4,2,29:42.0,Indiana State,349,888,1421,1782
5,3,Chris Derrick,JR,Stanford,Team,5:50,15,11,15:06,14,11,23:54,5,3,29:44.7,Indiana State,350,906,1434,1785
6,4,Jake Riley,JR,Stanford,Team,5:51,25,17,15:06,19,15,23:54,6,4,29:45.0,Indiana State,351,906,1434,1785
7,5,Girma Mecheso,JR,Oklahoma State,Team,5:52,39,28,15:06,26,21,23:54,7,5,29:47.5,Indiana State,352,906,1434,1788
8,6,German Fernandez,JR,Oklahoma State,Team,5:53,52,40,15:06,28,23,23:54,9,7,29:49.3,Indiana State,353,906,1434,1789
9,7,Colby Lowe,JR,Oklahoma State,Team,5:52,40,29,15:06,27,22,23:54,8,6,29:57.6,Indiana State,352,906,1434,1798
10,8,Matthew Centrowitz,JR,Oregon,Team,5:49,8,6,15:06,9,7,24:00,11,9,30:01.1,Indiana State,349,906,1440,1801
11,9,Dorian Ulrey,SR,Arkansas,Team,5:53,53,41,15:06,29,24,24:00,12,10,30:02.0,Indiana State,353,906,1440,1802
12,10,Mohammed Ahmed,SO,Wisconsin,Team,5:55,82,66,15:07,56,44,23:54,10,8,30:03.4,Indiana State,355,907,1434,1803
13,11,Maverick Darling,SO,Wisconsin,Team,5:55,83,67,15:07,57,45,24:00,14,12,30:07.6,Indiana State,355,907,1440,1808
14,,Jonathan Peterson,JR,UC Davis,Individual,5:50,16,,15:06,15,,24:03,18,,30:09.1,Indiana State,350,906,1443,1809
15,12,Miles Batty,JR,BYU,Team,5:54,67,54,15:06,34,29,24:00,13,11,30:09.4,Indiana State,354,906,1440,1809
16,13,Diego Estrada,JR,Northern Arizona,Team,5:45,3,2,14:53,5,3,24:01,15,13,30:10.7,Indiana State,345,893,1441,1811
17,14,Solomon Haile,SO,Arkansas,Team,5:53,54,42,15:06,30,25,24:01,16,14,30:13.3,Indiana State,353,906,1441,1813
18,15,Ciaran O'Lionaird,SR,Florida State,Team,5:49,9,7,15:06,10,8,24:05,23,19,30:14.0,Indiana State,349,906,1445,1814
19,16,Ahmed Osman,JR,Northern Arizona,Team,5:55,84,68,15:07,58,46,24:01,17,15,30:14.8,Indiana State,355,907,1441,1815
20,17,Landon Peacock,SR,Wisconsin,Team,5:56,103,85,15:07,59,47,24:05,24,20,30:15.3,Indiana State,356,907,1445,1815
21,18,Brian Leung,JR,Princeton,Team,5:51,28,18,15:06,21,16,24:07,26,21,30:18.3,Indiana State,351,906,1447,1818
22,19,Ryan Hill,JR,NC State,Team,5:54,70,56,15:07,55,43,24:12,36,28,30:19.0,Indiana State,354,907,1452,1819
23,20,Kevin Schwab,JR,Oklahoma,Team,5:49,11,8,15:06,11,9,24:16,43,33,30:19.1,Indiana State,349,906,1456,1819
24,21,Lee Carey,JR,Providence,Team,5:53,57,45,15:07,49,38,24:07,27,22,30:19.9,Indiana State,353,907,1447,1820
