Place,Athlete,Class,School,Type,TmPl,Finish,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
1,"Tiernan, Patrick",SR,Villanova,Individual,,29:22.0,09:06.9,4,,15:17.1,3,,23:53.6,1,,Indiana State,547,917,1434,1762
2,"Knight, Justyn",JR,Syracuse,Team,1,29:27.3,09:07.7,19,9,15:17.3,9,5,23:53.9,3,2,Indiana State,548,917,1434,1767
3,"Cheserek, Edward",SR,Oregon,Team,2,29:48.0,09:07.2,6,3,15:17.1,1,1,23:53.6,2,1,Indiana State,547,917,1434,1788
4,"Zienasellassie, Futsum",SR,Northern Arizona,Team,3,29:49.8,09:07.4,12,5,15:17.2,4,2,23:58.9,4,3,Indiana State,547,917,1439,1790
5,"Fisher, Grant",SO,Stanford,Team,4,29:57.9,09:07.5,16,7,15:17.4,12,7,24:09.7,10,6,Indiana State,547,917,1450,1798
6,"Erb, MJ",SR,Mississippi,Team,5,29:58.5,09:08.9,58,41,15:17.8,23,14,24:02.4,6,5,Indiana State,549,918,1442,1799
7,"McDonald, Morgan",JR,Wisconsin,Team,6,29:59.2,09:08.4,37,25,15:18.0,33,21,24:10.1,14,10,Indiana State,548,918,1450,1799
8,"Kibichiy, Edwin",SR,Louisville,Individual,,29:59.5,09:07.2,7,,15:17.4,14,,24:03.5,7,,Indiana State,547,917,1444,1800
9,"Montanez, Nicolas",SR,BYU,Team,7,30:02.3,09:09.4,79,59,15:18.3,46,32,24:10.1,15,11,Indiana State,549,918,1450,1802
10,"Carpenter, Scott",SR,Georgetown,Team,8,30:03.0,09:08.2,34,22,15:17.9,31,20,24:09.7,11,7,Indiana State,548,918,1450,1803
11,"Baxter, Matthew",JR,Northern Arizona,Team,9,30:03.1,09:06.8,1,1,15:17.4,11,6,24:10.3,16,12,Indiana State,547,917,1450,1803
12,"Maggard, Dillon",JR,Utah State,Individual,,30:03.9,09:08.6,48,,15:18.0,36,,24:11.2,19,,Indiana State,549,918,1451,1804
13,"Traynor, Luke",SR,Tulsa,Team,10,30:07.7,09:07.9,23,13,15:17.5,16,10,24:10.5,17,13,Indiana State,548,918,1451,1808
14,"Edman, Ferdinand",SR,UCLA,Team,11,30:08.8,09:09.1,65,47,15:17.8,24,15,24:09.9,12,8,Indiana State,549,918,1450,1809
